Muestas,Series,Be-mean,y(k),n in box,Box,Slope,y-intercept,Slope,y-intercept,yn(k),[y(k)-yn(k)]^2,,n in box,Log(n),LogF(n),nb of boxes,,,,
237,1.15,0.000,-3.242,7,24,,,-0.008,-1.291,-3.259,2.69E-04,,,,,,,,,
238,1.133,-0.017,-3.259,8,24,,,-0.008,-1.291,-3.267,6.72E-05,,,,,,,,,
239,1.113,-0.037,-3.295,9,24,,,-0.008,-1.291,-3.275,4.00E-04,,,,,,,,,
240,1.15,0.000,-3.295,10,24,,,-0.008,-1.291,-3.284,1.25E-04,,,,,,,,,
241,1.167,0.017,-3.277,1,25,0.004,-4.294,0.004,-4.294,-3.280,8.36E-06,,,,,,,,,
242,1.137,-0.013,-3.290,2,25,,,0.004,-4.294,-3.276,1.91E-04,,,,,,,,,
243,1.17,0.020,-3.269,3,25,,,0.004,-4.294,-3.272,6.11E-06,,,,,,,,,
244,1.157,0.007,-3.262,4,25,,,0.004,-4.294,-3.268,3.32E-05,,,,,,,,,
245,1.163,0.013,-3.249,5,25,,,0.004,-4.294,-3.264,2.27E-04,,,,,,,,,
246,1.15,0.000,-3.248,6,25,,,0.004,-4.294,-3.259,1.29E-04,,,,,,,,,
247,1.12,-0.030,-3.278,7,25,,,0.004,-4.294,-3.255,5.00E-04,,,,,,,,,
248,1.167,0.017,-3.260,8,25,,,0.004,-4.294,-3.251,8.23E-05,,,,,,,,,
249,1.16,0.010,-3.250,9,25,,,0.004,-4.294,-3.247,7.74E-06,,,,,,,,,
250,1.167,0.017,-3.232,10,25,,,0.004,-4.294,-3.243,1.10E-04,,,,,,,,,
251,1.14,-0.010,-3.242,1,26,0.011,-6.107,0.011,-6.107,-3.269,7.43E-04,,,,,,,,,
252,1.153,0.003,-3.238,2,26,,,0.011,-6.107,-3.257,3.78E-04,,,,,,,,,
253,1.147,-0.003,-3.241,3,26,,,0.011,-6.107,-3.246,3.17E-05,,,,,,,,,
254,1.137,-0.013,-3.253,4,26,,,0.011,-6.107,-3.235,3.31E-04,,,,,,,,,
255,1.15,0.000,-3.253,5,26,,,0.011,-6.107,-3.224,8.41E-04,,,,,,,,,
256,1.157,0.007,-3.245,6,26,,,0.011,-6.107,-3.212,1.08E-03,,,,,,,,,
257,1.17,0.020,-3.225,7,26,,,0.011,-6.107,-3.201,5.58E-04,,,,,,,,,
258,1.19,0.040,-3.184,8,26,,,0.011,-6.107,-3.190,3.10E-05,,,,,,,,,
259,1.16,0.010,-3.174,9,26,,,0.011,-6.107,-3.178,2.26E-05,,,,,,,,,
260,1.197,0.047,-3.126,10,26,,,0.011,-6.107,-3.167,1.68E-03,,,,,,,,,
261,1.16,0.010,-3.116,1,27,0.003,-3.927,0.003,-3.927,-3.096,3.69E-04,,,,,,,,,
262,1.16,0.010,-3.105,2,27,,,0.003,-3.927,-3.093,1.42E-04,,,,,,,,,
263,1.17,0.020,-3.085,3,27,,,0.003,-3.927,-3.090,2.93E-05,,,,,,,,,
264,1.157,0.007,-3.077,4,27,,,0.003,-3.927,-3.087,9.46E-05,,,,,,,,,
265,1.163,0.013,-3.064,5,27,,,0.003,-3.927,-3.084,4.02E-04,,,,,,,,,
266,1.15,0.000,-3.063,6,27,,,0.003,-3.927,-3.080,3.01E-04,,,,,,,,,
267,1.143,-0.007,-3.070,7,27,,,0.003,-3.927,-3.077,5.89E-05,,,,,,,,,
268,1.14,-0.010,-3.079,8,27,,,0.003,-3.927,-3.074,2.51E-05,,,,,,,,,
269,1.147,-0.003,-3.082,9,27,,,0.003,-3.927,-3.071,1.14E-04,,,,,,,,,
270,1.15,0.000,-3.081,10,27,,,0.003,-3.927,-3.068,1.79E-04,,,,,,,,,
271,1.2,0.050,-3.031,1,28,0.009,-5.324,0.009,-5.324,-3.014,2.88E-04,,,,,,,,,
272,1.167,0.017,-3.013,2,28,,,0.009,-5.324,-3.005,6.39E-05,,,,,,,,,
273,1.177,0.027,-2.986,3,28,,,0.009,-5.324,-2.997,1.20E-04,,,,,,,,,
274,1.153,0.003,-2.982,4,28,,,0.009,-5.324,-2.988,3.53E-05,,,,,,,,,
275,1.163,0.013,-2.969,5,28,,,0.009,-5.324,-2.980,1.19E-04,,,,,,,,,
276,1.147,-0.003,-2.971,6,28,,,0.009,-5.324,-2.971,1.33E-08,,,,,,,,,
277,1.17,0.020,-2.951,7,28,,,0.009,-5.324,-2.962,1.41E-04,,,,,,,,,
278,1.157,0.007,-2.943,8,28,,,0.009,-5.324,-2.954,1.17E-04,,,,,,,,,
279,1.14,-0.010,-2.953,9,28,,,0.009,-5.324,-2.945,5.19E-05,,,,,,,,,
280,1.147,-0.003,-2.955,10,28,,,0.009,-5.324,-2.937,3.33E-04,,,,,,,,,
281,1.143,-0.007,-2.962,1,29,-0.011,0.289,-0.011,0.289,-2.929,1.09E-03,,,,,,,,,
282,1.17,0.020,-2.941,2,29,,,-0.011,0.289,-2.940,1.23E-06,,,,,,,,,
283,1.147,-0.003,-2.944,3,29,,,-0.011,0.289,-2.951,6.14E-05,,,,,,,,,
284,1.143,-0.007,-2.950,4,29,,,-0.011,0.289,-2.963,1.63E-04,,,,,,,,,
285,1.14,-0.010,-2.960,5,29,,,-0.011,0.289,-2.974,2.17E-04,,,,,,,,,
286,1.14,-0.010,-2.969,6,29,,,-0.011,0.289,-2.986,2.78E-04,,,,,,,,,
287,1.133,-0.017,-2.986,7,29,,,-0.011,0.289,-2.997,1.35E-04,,,,,,,,,
288,1.13,-0.020,-3.005,8,29,,,-0.011,0.289,-3.009,1.27E-05,,,,,,,,,
289,1.127,-0.023,-3.028,9,29,,,-0.011,0.289,-3.020,5.61E-05,,,,,,,,,
290,1.12,-0.030,-3.057,10,29,,,-0.011,0.289,-3.032,6.53E-04,,,,,,,,,
291,1.127,-0.023,-3.080,1,30,-0.013,0.685,-0.013,0.685,-3.063,2.79E-04,,,,,,,,,
292,1.143,-0.007,-3.086,2,30,,,-0.013,0.685,-3.076,1.06E-04,,,,,,,,,
293,1.143,-0.007,-3.093,3,30,,,-0.013,0.685,-3.089,1.55E-05,,,,,,,,,
294,1.157,0.007,-3.085,4,30,,,-0.013,0.685,-3.102,2.70E-04,,,,,,,,,
295,1.137,-0.013,-3.098,5,30,,,-0.013,0.685,-3.115,2.83E-04,,,,,,,,,
296,1.137,-0.013,-3.110,6,30,,,-0.013,0.685,-3.127,2.95E-04,,,,,,,,,
297,1.127,-0.023,-3.133,7,30,,,-0.013,0.685,-3.140,5.72E-05,,,,,,,,,
298,1.13,-0.020,-3.152,8,30,,,-0.013,0.685,-3.153,8.82E-07,,,,,,,,,
299,1.12,-0.030,-3.182,9,30,,,-0.013,0.685,-3.166,2.46E-04,,,,,,,,,
300,1.14,-0.010,-3.191,10,30,,,-0.013,0.685,-3.179,1.52E-04,,,,,,,,,
301,1.16,0.010,-3.181,1,31,-0.003,-2.262,-0.003,-2.262,-3.158,5.26E-04,,,,,,,,,
302,1.187,0.037,-3.143,2,31,,,-0.003,-2.262,-3.161,3.08E-04,,,,,,,,,
303,1.143,-0.007,-3.150,3,31,,,-0.003,-2.262,-3.164,1.97E-04,,,,,,,,,
304,1.113,-0.037,-3.186,4,31,,,-0.003,-2.262,-3.167,3.81E-04,,,,,,,,,
305,1.15,0.000,-3.186,5,31,,,-0.003,-2.262,-3.170,2.57E-04,,,,,,,,,
306,1.177,0.027,-3.158,6,31,,,-0.003,-2.262,-3.173,2.08E-04,,,,,,,,,
307,1.163,0.013,-3.145,7,31,,,-0.003,-2.262,-3.176,9.55E-04,,,,,,,,,
308,1.127,-0.023,-3.167,8,31,,,-0.003,-2.262,-3.179,1.30E-04,,,,,,,,,
309,1.127,-0.023,-3.190,9,31,,,-0.003,-2.262,-3.182,6.63E-05,,,,,,,,,
310,1.133,-0.017,-3.206,10,31,,,-0.003,-2.262,-3.185,4.70E-04,,,,,,,,,
311,1.133,-0.017,-3.223,1,32,-0.010,-0.223,-0.010,-0.223,-3.211,1.48E-04,,,,,,,,,
312,1.127,-0.023,-3.245,2,32,,,-0.010,-0.223,-3.220,6.28E-04,,,,,,,,,
313,1.16,0.010,-3.235,3,32,,,-0.010,-0.223,-3.230,2.46E-05,,,,,,,,,
314,1.167,0.017,-3.217,4,32,,,-0.010,-0.223,-3.239,4.90E-04,,,,,,,,,
315,1.14,-0.010,-3.227,5,32,,,-0.010,-0.223,-3.249,4.95E-04,,,,,,,,,
316,1.14,-0.010,-3.236,6,32,,,-0.010,-0.223,-3.259,5.00E-04,,,,,,,,,
317,1.127,-0.023,-3.259,7,32,,,-0.010,-0.223,-3.268,8.94E-05,,,,,,,,,
318,1.127,-0.023,-3.281,8,32,,,-0.010,-0.223,-3.278,1.19E-05,,,,,,,,,
319,1.133,-0.017,-3.298,9,32,,,-0.010,-0.223,-3.287,1.07E-04,,,,,,,,,
320,1.13,-0.020,-3.317,10,32,,,-0.010,-0.223,-3.297,4.10E-04,,,,,,,,,
321,1.137,-0.013,-3.330,1,33,0.001,-3.567,0.001,-3.567,-3.365,1.23E-03,,,,,,,,,
322,1.13,-0.020,-3.349,2,33,,,0.001,-3.567,-3.364,2.21E-04,,,,,,,,,
323,1.137,-0.013,-3.362,3,33,,,0.001,-3.567,-3.364,3.00E-06,,,,,,,,,
324,1.13,-0.020,-3.381,4,33,,,0.001,-3.567,-3.363,3.39E-04,,,,,,,,,
325,1.133,-0.017,-3.398,5,33,,,0.001,-3.567,-3.362,1.26E-03,,,,,,,,,
326,1.157,0.007,-3.390,6,33,,,0.001,-3.567,-3.362,8.22E-04,,,,,,,,,
327,1.163,0.013,-3.377,7,33,,,0.001,-3.567,-3.361,2.50E-04,,,,,,,,,
328,1.163,0.013,-3.363,8,33,,,0.001,-3.567,-3.360,8.60E-06,,,,,,,,,
329,1.163,0.013,-3.350,9,33,,,0.001,-3.567,-3.360,9.87E-05,,,,,,,,,
330,1.18,0.030,-3.319,10,33,,,0.001,-3.567,-3.359,1.58E-03,,,,,,,,,
331,1.18,0.030,-3.289,1,34,-0.007,-1.067,-0.007,-1.067,-3.280,8.50E-05,,,,,,,,,
332,1.153,0.003,-3.285,2,34,,,-0.007,-1.067,-3.286,9.29E-07,,,,,,,,,
333,1.15,0.000,-3.285,3,34,,,-0.007,-1.067,-3.293,6.63E-05,,,,,,,,,
334,1.14,-0.010,-3.294,4,34,,,-0.007,-1.067,-3.300,2.84E-05,,,,,,,,,
335,1.13,-0.020,-3.314,5,34,,,-0.007,-1.067,-3.306,5.61E-05,,,,,,,,,
336,1.153,0.003,-3.310,6,34,,,-0.007,-1.067,-3.313,7.24E-06,,,,,,,,,
337,1.147,-0.003,-3.313,7,34,,,-0.007,-1.067,-3.320,4.72E-05,,,,,,,,,
338,1.13,-0.020,-3.332,8,34,,,-0.007,-1.067,-3.326,3.53E-05,,,,,,,,,
339,1.153,0.003,-3.329,9,34,,,-0.007,-1.067,-3.333,1.79E-05,,,,,,,,,
340,1.133,-0.017,-3.345,10,34,,,-0.007,-1.067,-3.340,3.12E-05,,,,,,,,,
341,1.147,-0.003,-3.348,1,35,-0.012,0.704,-0.012,0.704,-3.316,1.01E-03,,,,,,,,,
342,1.187,0.037,-3.310,2,35,,,-0.012,0.704,-3.328,3.06E-04,,,,,,,,,
343,1.133,-0.017,-3.327,3,35,,,-0.012,0.704,-3.340,1.64E-04,,,,,,,,,
344,1.14,-0.010,-3.336,4,35,,,-0.012,0.704,-3.351,2.27E-04,,,,,,,,,
345,1.12,-0.030,-3.366,5,35,,,-0.012,0.704,-3.363,6.98E-06,,,,,,,,,
346,1.137,-0.013,-3.378,6,35,,,-0.012,0.704,-3.375,1.13E-05,,,,,,,,,
347,1.14,-0.010,-3.388,7,35,,,-0.012,0.704,-3.387,1.15E-06,,,,,,,,,
348,1.14,-0.010,-3.397,8,35,,,-0.012,0.704,-3.399,1.47E-06,,,,,,,,,
349,1.13,-0.020,-3.417,9,35,,,-0.012,0.704,-3.410,4.23E-05,,,,,,,,,
350,1.143,-0.007,-3.423,10,35,,,-0.012,0.704,-3.422,1.48E-06,,,,,,,,,
351,1.133,-0.017,-3.440,1,36,-0.002,-2.880,-0.002,-2.880,-3.468,7.86E-04,,,,,,,,,
352,1.127,-0.023,-3.462,2,36,,,-0.002,-2.880,-3.470,5.19E-05,,,,,,,,,
353,1.15,0.000,-3.462,3,36,,,-0.002,-2.880,-3.471,8.79E-05,,,,,,,,,
354,1.133,-0.017,-3.478,4,36,,,-0.002,-2.880,-3.473,2.98E-05,,,,,,,,,
355,1.117,-0.033,-3.511,5,36,,,-0.002,-2.880,-3.475,1.32E-03,,,,,,,,,
356,1.153,0.003,-3.507,6,36,,,-0.002,-2.880,-3.476,9.68E-04,,,,,,,,,
357,1.167,0.017,-3.490,7,36,,,-0.002,-2.880,-3.478,1.43E-04,,,,,,,,,
358,1.153,0.003,-3.486,8,36,,,-0.002,-2.880,-3.480,4.59E-05,,,,,,,,,
359,1.167,0.017,-3.469,9,36,,,-0.002,-2.880,-3.481,1.54E-04,,,,,,,,,
360,1.17,0.020,-3.448,10,36,,,-0.002,-2.880,-3.483,1.19E-03,,,,,,,,,
361,1.197,0.047,-3.401,1,37,0.024,-12.066,0.024,-12.066,-3.367,1.13E-03,,,,,,,,,
362,1.223,0.073,-3.327,2,37,,,0.024,-12.066,-3.343,2.50E-04,,,,,,,,,
363,1.163,0.013,-3.314,3,37,,,0.024,-12.066,-3.319,2.70E-05,,,,,,,,,
364,1.173,0.023,-3.290,4,37,,,0.024,-12.066,-3.295,2.12E-05,,,,,,,,,
365,1.193,0.043,-3.247,5,37,,,0.024,-12.066,-3.271,5.76E-04,,,,,,,,,
366,1.153,0.003,-3.244,6,37,,,0.024,-12.066,-3.247,1.16E-05,,,,,,,,,
367,1.167,0.017,-3.226,7,37,,,0.024,-12.066,-3.223,1.02E-05,,,,,,,,,
368,1.173,0.023,-3.203,8,37,,,0.024,-12.066,-3.199,1.44E-05,,,,,,,,,
369,1.173,0.023,-3.179,9,37,,,0.024,-12.066,-3.175,1.94E-05,,,,,,,,,
370,1.17,0.020,-3.159,10,37,,,0.024,-12.066,-3.151,6.40E-05,,,,,,,,,
371,1.18,0.030,-3.128,1,38,0.016,-8.954,0.016,-8.954,-3.106,5.02E-04,,,,,,,,,
372,1.193,0.043,-3.085,2,38,,,0.016,-8.954,-3.090,2.84E-05,,,,,,,,,
373,1.18,0.030,-3.054,3,38,,,0.016,-8.954,-3.074,4.03E-04,,,,,,,,,
374,1.16,0.010,-3.044,4,38,,,0.016,-8.954,-3.058,2.19E-04,,,,,,,,,
375,1.153,0.003,-3.040,5,38,,,0.016,-8.954,-3.043,6.42E-06,,,,,,,,,
376,1.153,0.003,-3.037,6,38,,,0.016,-8.954,-3.027,9.47E-05,,,,,,,,,
377,1.16,0.010,-3.026,7,38,,,0.016,-8.954,-3.011,2.25E-04,,,,,,,,,
378,1.18,0.030,-2.996,8,38,,,0.016,-8.954,-2.995,7.11E-08,,,,,,,,,
379,1.167,0.017,-2.978,9,38,,,0.016,-8.954,-2.980,2.15E-06,,,,,,,,,
380,1.167,0.017,-2.961,10,38,,,0.016,-8.954,-2.964,1.02E-05,,,,,,,,,
381,1.18,0.030,-2.930,1,39,0.033,-15.514,0.033,-15.514,-2.939,7.90E-05,,,,,,,,,
382,1.16,0.010,-2.920,2,39,,,0.033,-15.514,-2.906,1.85E-04,,,,,,,,,
383,1.177,0.027,-2.892,3,39,,,0.033,-15.514,-2.873,3.66E-04,,,,,,,,,
384,1.2,0.050,-2.842,4,39,,,0.033,-15.514,-2.840,2.68E-06,,,,,,,,,
385,1.19,0.040,-2.801,5,39,,,0.033,-15.514,-2.807,3.43E-05,,,,,,,,,
386,1.193,0.043,-2.758,6,39,,,0.033,-15.514,-2.774,2.67E-04,,,,,,,,,
387,1.183,0.033,-2.724,7,39,,,0.033,-15.514,-2.741,2.83E-04,,,,,,,,,
388,1.18,0.030,-2.694,8,39,,,0.033,-15.514,-2.708,2.05E-04,,,,,,,,,
389,1.167,0.017,-2.676,9,39,,,0.033,-15.514,-2.675,1.40E-06,,,,,,,,,
390,1.157,0.007,-2.669,10,39,,,0.033,-15.514,-2.642,7.12E-04,,,,,,,,,
391,1.16,0.010,-2.658,1,40,0.002,-3.516,0.002,-3.516,-2.635,5.33E-04,,,,,,,,,
392,1.183,0.033,-2.625,2,40,,,0.002,-3.516,-2.633,6.64E-05,,,,,,,,,
393,1.15,0.000,-2.624,3,40,,,0.002,-3.516,-2.631,4.09E-05,,,,,,,,,
394,1.143,-0.007,-2.631,4,40,,,0.002,-3.516,-2.628,5.59E-06,,,,,,,,,
395,1.157,0.007,-2.623,5,40,,,0.002,-3.516,-2.626,8.29E-06,,,,,,,,,
396,1.17,0.020,-2.603,6,40,,,0.002,-3.516,-2.624,4.46E-04,,,,,,,,,
397,1.14,-0.010,-2.612,7,40,,,0.002,-3.516,-2.621,8.77E-05,,,,,,,,,
398,1.137,-0.013,-2.625,8,40,,,0.002,-3.516,-2.619,2.91E-05,,,,,,,,,
399,1.153,0.003,-2.621,9,40,,,0.002,-3.516,-2.617,1.72E-05,,,,,,,,,
400,1.143,-0.007,-2.628,10,40,,,0.002,-3.516,-2.615,1.67E-04,,,,,,,,,
401,1.13,-0.020,-2.647,1,41,0.027,-13.504,0.027,-13.504,-2.649,2.22E-06,,,,,,,,,
402,1.167,0.017,-2.630,2,41,,,0.027,-13.504,-2.622,6.54E-05,,,,,,,,,
403,1.193,0.043,-2.586,3,41,,,0.027,-13.504,-2.594,6.95E-05,,,,,,,,,
404,1.177,0.027,-2.559,4,41,,,0.027,-13.504,-2.567,7.68E-05,,,,,,,,,
405,1.17,0.020,-2.538,5,41,,,0.027,-13.504,-2.540,4.79E-06,,,,,,,,,
406,1.16,0.010,-2.528,6,41,,,0.027,-13.504,-2.513,2.07E-04,,,,,,,,,
407,1.177,0.027,-2.500,7,41,,,0.027,-13.504,-2.486,1.95E-04,,,,,,,,,
408,1.2,0.050,-2.450,8,41,,,0.027,-13.504,-2.459,8.95E-05,,,,,,,,,
409,1.177,0.027,-2.422,9,41,,,0.027,-13.504,-2.432,9.77E-05,,,,,,,,,
410,1.163,0.013,-2.409,10,41,,,0.027,-13.504,-2.405,1.36E-05,,,,,,,,,
411,1.147,-0.003,-2.411,1,42,-0.009,1.485,-0.009,1.485,-2.391,4.11E-04,,,,,,,,,
412,1.157,0.007,-2.404,2,42,,,-0.009,1.485,-2.400,1.12E-05,,,,,,,,,
413,1.16,0.010,-2.393,3,42,,,-0.009,1.485,-2.410,2.75E-04,,,,,,,,,
414,1.123,-0.027,-2.420,4,42,,,-0.009,1.485,-2.419,2.41E-07,,,,,,,,,
415,1.153,0.003,-2.416,5,42,,,-0.009,1.485,-2.429,1.55E-04,,,,,,,,,
416,1.13,-0.020,-2.436,6,42,,,-0.009,1.485,-2.438,5.59E-06,,,,,,,,,
417,1.15,0.000,-2.435,7,42,,,-0.009,1.485,-2.448,1.51E-04,,,,,,,,,
418,1.127,-0.023,-2.458,8,42,,,-0.009,1.485,-2.457,6.11E-07,,,,,,,,,
419,1.13,-0.020,-2.477,9,42,,,-0.009,1.485,-2.466,1.18E-04,,,,,,,,,
420,1.143,-0.007,-2.484,10,42,,,-0.009,1.485,-2.476,6.28E-05,,,,,,,,,
421,1.137,-0.013,-2.496,1,43,0.009,-6.217,0.009,-6.217,-2.520,5.56E-04,,,,,,,,,
422,1.153,0.003,-2.493,2,43,,,0.009,-6.217,-2.511,3.35E-04,,,,,,,,,
423,1.14,-0.010,-2.502,3,43,,,0.009,-6.217,-2.502,1.47E-10,,,,,,,,,
424,1.15,0.000,-2.502,4,43,,,0.009,-6.217,-2.493,6.84E-05,,,,,,,,,
425,1.137,-0.013,-2.514,5,43,,,0.009,-6.217,-2.485,8.74E-04,,,,,,,,,
426,1.167,0.017,-2.497,6,43,,,0.009,-6.217,-2.476,4.34E-04,,,,,,,,,
427,1.157,0.007,-2.489,7,43,,,0.009,-6.217,-2.467,4.90E-04,,,,,,,,,
428,1.167,0.017,-2.472,8,43,,,0.009,-6.217,-2.458,1.80E-04,,,,,,,,,
429,1.187,0.037,-2.434,9,43,,,0.009,-6.217,-2.450,2.34E-04,,,,,,,,,
430,1.18,0.030,-2.404,10,43,,,0.009,-6.217,-2.441,1.37E-03,,,,,,,,,
431,1.187,0.037,-2.366,1,44,0.009,-6.015,0.009,-6.015,-2.320,2.17E-03,,,,,,,,,
432,1.193,0.043,-2.323,2,44,,,0.009,-6.015,-2.311,1.35E-04,,,,,,,,,
433,1.187,0.037,-2.285,3,44,,,0.009,-6.015,-2.303,2.99E-04,,,,,,,,,
434,1.163,0.013,-2.272,4,44,,,0.009,-6.015,-2.294,4.94E-04,,,,,,,,,
435,1.153,0.003,-2.268,5,44,,,0.009,-6.015,-2.285,2.94E-04,,,,,,,,,
436,1.167,0.017,-2.251,6,44,,,0.009,-6.015,-2.277,6.79E-04,,,,,,,,,
437,1.16,0.010,-2.240,7,44,,,0.009,-6.015,-2.268,7.83E-04,,,,,,,,,
438,1.133,-0.017,-2.257,8,44,,,0.009,-6.015,-2.260,8.43E-06,,,,,,,,,
439,1.133,-0.017,-2.273,9,44,,,0.009,-6.015,-2.251,4.92E-04,,,,,,,,,
440,1.147,-0.003,-2.276,10,44,,,0.009,-6.015,-2.243,1.11E-03,,,,,,,,,
441,1.117,-0.033,-2.308,1,45,-0.003,-1.054,-0.003,-1.054,-2.308,2.78E-07,,,,,,,,,
442,1.133,-0.017,-2.325,2,45,,,-0.003,-1.054,-2.311,2.01E-04,,,,,,,,,
443,1.157,0.007,-2.317,3,45,,,-0.003,-1.054,-2.313,1.48E-05,,,,,,,,,
444,1.167,0.017,-2.300,4,45,,,-0.003,-1.054,-2.316,2.72E-04,,,,,,,,,
445,1.14,-0.010,-2.309,5,45,,,-0.003,-1.054,-2.319,9.66E-05,,,,,,,,,
446,1.133,-0.017,-2.326,6,45,,,-0.003,-1.054,-2.322,1.47E-05,,,,,,,,,
447,1.16,0.010,-2.315,7,45,,,-0.003,-1.054,-2.325,9.04E-05,,,,,,,,,
448,1.133,-0.017,-2.332,8,45,,,-0.003,-1.054,-2.328,1.72E-05,,,,,,,,,
449,1.143,-0.007,-2.338,9,45,,,-0.003,-1.054,-2.331,6.10E-05,,,,,,,,,
450,1.153,0.003,-2.335,10,45,,,-0.003,-1.054,-2.333,2.17E-06,,,,,,,,,
451,1.16,0.010,-2.324,1,46,-0.002,-1.651,-0.002,-1.651,-2.329,2.12E-05,,,,,,,,,
452,1.15,0.000,-2.324,2,46,,,-0.002,-1.651,-2.330,4.36E-05,,,,,,,,,
453,1.14,-0.010,-2.333,3,46,,,-0.002,-1.651,-2.332,1.96E-06,,,,,,,,,
454,1.133,-0.017,-2.350,4,46,,,-0.002,-1.651,-2.333,2.69E-04,,,,,,,,,
455,1.157,0.007,-2.342,5,46,,,-0.002,-1.651,-2.335,5.48E-05,,,,,,,,,
456,1.17,0.020,-2.322,6,46,,,-0.002,-1.651,-2.336,2.13E-04,,,,,,,,,
457,1.137,-0.013,-2.334,7,46,,,-0.002,-1.651,-2.338,1.30E-05,,,,,,,,,
458,1.14,-0.010,-2.344,8,46,,,-0.002,-1.651,-2.339,1.94E-05,,,,,,,,,
459,1.143,-0.007,-2.350,9,46,,,-0.002,-1.651,-2.341,8.84E-05,,,,,,,,,
460,1.167,0.017,-2.333,10,46,,,-0.002,-1.651,-2.342,9.22E-05,,,,,,,,,
461,1.167,0.017,-2.315,1,47,0.029,-15.646,0.029,-15.646,-2.319,1.49E-05,,,,,,,,,
462,1.163,0.013,-2.302,2,47,,,0.029,-15.646,-2.290,1.34E-04,,,,,,,,,
463,1.197,0.047,-2.254,3,47,,,0.029,-15.646,-2.261,4.94E-05,,,,,,,,,
464,1.187,0.037,-2.217,4,47,,,0.029,-15.646,-2.233,2.44E-04,,,,,,,,,
465,1.157,0.007,-2.209,5,47,,,0.029,-15.646,-2.204,3.36E-05,,,,,,,,,
466,1.17,0.020,-2.189,6,47,,,0.029,-15.646,-2.175,2.02E-04,,,,,,,,,
467,1.197,0.047,-2.141,7,47,,,0.029,-15.646,-2.146,1.92E-05,,,,,,,,,
468,1.167,0.017,-2.124,8,47,,,0.029,-15.646,-2.117,4.94E-05,,,,,,,,,
469,1.187,0.037,-2.086,9,47,,,0.029,-15.646,-2.088,2.43E-06,,,,,,,,,
470,1.183,0.033,-2.053,10,47,,,0.029,-15.646,-2.059,3.78E-05,,,,,,,,,
471,1.18,0.030,-2.022,1,48,0.040,-20.704,0.040,-20.704,-2.027,2.03E-05,,,,,,,,,
472,1.163,0.013,-2.009,2,48,,,0.040,-20.704,-1.987,4.69E-04,,,,,,,,,
473,1.193,0.043,-1.965,3,48,,,0.040,-20.704,-1.948,3.17E-04,,,,,,,,,
474,1.193,0.043,-1.922,4,48,,,0.040,-20.704,-1.908,1.95E-04,,,,,,,,,
475,1.227,0.077,-1.844,5,48,,,0.040,-20.704,-1.868,5.70E-04,,,,,,,,,
476,1.21,0.060,-1.784,6,48,,,0.040,-20.704,-1.829,2.00E-03,,,,,,,,,
477,1.16,0.010,-1.773,7,48,,,0.040,-20.704,-1.789,2.42E-04,,,,,,,,,
478,1.173,0.023,-1.750,8,48,,,0.040,-20.704,-1.749,3.53E-07,,,,,,,,,
479,1.187,0.037,-1.712,9,48,,,0.040,-20.704,-1.710,7.57E-06,,,,,,,,,
480,1.16,0.010,-1.702,10,48,,,0.040,-20.704,-1.670,1.02E-03,,,,,,,,,
481,1.153,0.003,-1.698,1,49,0.037,-19.391,0.037,-19.391,-1.697,2.86E-06,,,,,,,,,
482,1.167,0.017,-1.681,2,49,,,0.037,-19.391,-1.660,4.40E-04,,,,,,,,,
